type,key
missing_in_submit,accountsReceivableBalance
missing_in_submit,annualRevenue
missing_in_submit,applicantAddress
missing_in_submit,applicantCity
missing_in_submit,applicantPostalCode
missing_in_submit,applicantState
missing_in_submit,averageMonthlyRevenue
missing_in_submit,bankruptcyHistory
missing_in_submit,businessAddress
missing_in_submit,businessCity
missing_in_submit,businessEmail
missing_in_submit,businessLocation
missing_in_submit,businessName
missing_in_submit,businessPhone
missing_in_submit,businessStartDate
missing_in_submit,businessState
missing_in_submit,businessStructure
missing_in_submit,businessWebsite
missing_in_submit,businessZipCode
missing_in_submit,creditScore
missing_in_submit,dateOfBirth
missing_in_submit,employeeCount
missing_in_submit,equipmentValue
missing_in_submit,estimatedYearlyRevenue
missing_in_submit,firstName
missing_in_submit,fixedAssetsValue
missing_in_submit,fundingAmount
missing_in_submit,fundsPurpose
missing_in_submit,headquarters
missing_in_submit,headquartersState
missing_in_submit,id
missing_in_submit,incorporationDate
missing_in_submit,industry
missing_in_submit,lastName
missing_in_submit,lookingFor
missing_in_submit,matchScore
missing_in_submit,monthlyExpenses
missing_in_submit,name
missing_in_submit,numberOfEmployees
missing_in_submit,ownershipPercentage
missing_in_submit,partnerAddress
missing_in_submit,partnerCity
missing_in_submit,partnerCreditScore
missing_in_submit,partnerDateOfBirth
missing_in_submit,partnerEmail
missing_in_submit,partnerFirstName
missing_in_submit,partnerLastName
missing_in_submit,partnerOwnershipPercentage
missing_in_submit,partnerPersonalAnnualIncome
missing_in_submit,partnerPhone
missing_in_submit,partnerPostalCode
missing_in_submit,partnerSinSsn
missing_in_submit,partnerState
missing_in_submit,personalAnnualIncome
missing_in_submit,personalEmail
missing_in_submit,personalPhone
missing_in_submit,previousLoans
missing_in_submit,revenueLastYear
missing_in_submit,salesHistory
missing_in_submit,selectedCategory
missing_in_submit,selectedCategoryName
missing_in_submit,selectedLenderName
missing_in_submit,selectedProductId
missing_in_submit,selectedProductName
missing_in_submit,size
missing_in_submit,socialSecurityNumber
missing_in_submit,status
missing_in_submit,taxId
missing_in_submit,title
missing_in_submit,totalAssets
missing_in_submit,totalLiabilities
missing_in_submit,uploadedDocuments
missing_in_submit,yearsWithBusiness
unexpected_in_submit,applicationId
unexpected_in_submit,application_canon
unexpected_in_submit,application_canon_version
unexpected_in_submit,application_field_count
unexpected_in_submit,category
unexpected_in_submit,document
unexpected_in_submit,document_type
unexpected_in_submit,file
unexpected_in_submit,files
unexpected_in_submit,payload
